strategy_name,mode,opt_type,ticker,move_bucket,iv_bucket,transactions,win_rate,realized_pnl,premium_net,avg_return_pct,avg_hold_days
NVDA STOCK nan nan,STOCK,,NVDA,,,9,100.0,23106.0,75022.0,164.4,689.3
nan STOCK nan nan,STOCK,,,,,13,100.0,2530.0,0.0,-100.0,
ORCL A nan nan,A,PUT,ORCL,,,11,100.0,1366.0,2253.0,2392.42,0.5
PLTR C nan nan,C,PUT,PLTR,,,16,100.0,825.0,3569.0,102.65,3.4
GOOGL C nan nan,C,PUT,GOOGL,,,7,100.0,791.0,5426.0,16.14,29.3
AAPL CC nan nan,CC,CALL,AAPL,,,6,100.0,791.0,1106.0,514.88,1.5
UBER B nan nan,B,PUT,UBER,,,5,100.0,343.0,3621.0,13.21,37.2
NVDA B nan nan,B,PUT,NVDA,,,19,94.74,1171.0,30883.0,4.96,9.9
TQQQ A nan nan,A,PUT,TQQQ,,,18,94.44,712.0,1121.0,567.44,1.8
IBIT CC nan nan,CC,CALL,IBIT,,,16,93.75,1055.0,2485.0,139.36,0.7
IBIT A nan nan,A,PUT,IBIT,,,13,92.31,518.0,2637.0,86.44,1.5
META B nan nan,B,PUT,META,,,11,90.91,824.0,25967.0,3.85,10.0
CRWV CC nan nan,CC,CALL,CRWV,,,10,90.0,1716.0,5677.0,241.42,3.1
NVDA C nan nan,C,PUT,NVDA,,,42,88.1,3018.0,32171.0,13.72,10.3
PLTR B nan nan,B,PUT,PLTR,,,15,86.67,1119.0,17200.0,7.37,17.9
AAPL A nan nan,A,PUT,AAPL,,,7,85.71,176.0,693.0,388.63,0.4
HOOD CC nan nan,CC,CALL,HOOD,,,23,82.61,1724.0,7001.0,369.8,0.5
HOOD A nan nan,A,PUT,HOOD,,,17,82.35,1052.0,4928.0,61.69,1.6
NVDA CC nan nan,CC,CALL,NVDA,,,100,80.0,4095.0,100132.0,107.55,12.1
AAPL C nan nan,C,PUT,AAPL,,,5,80.0,479.0,1281.0,189.39,7.0
CRWV A nan nan,A,PUT,CRWV,,,5,80.0,-1067.0,713.0,28.35,1.0
TQQQ CC nan nan,CC,CALL,TQQQ,,,14,78.57,540.0,6118.0,89.29,3.1
NVDA A nan nan,A,PUT,NVDA,,,36,77.78,-1180.0,6873.0,83.0,1.3
UBER C nan nan,C,PUT,UBER,,,5,60.0,27.0,540.0,5.72,1.2
TQQQ STOCK nan nan,STOCK,,TQQQ,,,7,57.14,-634.0,60422.0,-4.46,23.9
TSLA STOCK nan nan,STOCK,,TSLA,,,13,30.77,-197.0,10130.0,-1.8,1040.2
FIG STOCK nan nan,STOCK,,FIG,,,7,0.0,-1394.0,1921.0,-36.14,97.4
SNOW STOCK nan nan,STOCK,,SNOW,,,8,0.0,-4899.0,5104.0,-47.63,847.9
PLTR STOCK nan nan,STOCK,,PLTR,,,5,0.0,-6625.0,25381.0,-20.36,3.0
